worker_id,assignment_id,uniqueid,pid,datetime,trial_id,jitter,exp_duration,loc_x,loc_y,n_shown,color,n_guess,rt
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253042,494805,0,50,500,60.1003197872,6.67140589501,B,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253042,494805,0,50,500,103.682062106,-1.62283016229,B,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253042,494805,0,50,500,163.965512135,19.4230158641,R,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253042,494805,0,50,500,28.8603408074,57.018097302,R,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253042,494805,0,50,500,62.661257879,98.8911687111,B,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253043,494805,0,50,500,53.5981084298,135.156870506,B,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253043,494805,0,50,500,-20.3361980754,38.5499182167,B,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253043,494805,0,50,500,-46.4098609477,74.8786447795,R,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253043,494805,0,50,500,-88.4313409533,110.768898085,B,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253043,494805,0,50,500,-56.4041884141,-18.0058396656,R,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253043,494805,0,50,500,-101.269286743,-11.7911511583,B,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253043,494805,0,50,500,-128.699995038,-16.3172452976,B,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253043,494805,0,50,500,-32.5286949045,-39.5341320679,R,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253043,494805,0,50,500,-63.2171096646,-63.207852326,R,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253043,494805,0,50,500,-99.4688583265,-135.093798211,R,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253043,494805,0,50,500,7.03367152804,-40.2935434912,R,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253043,494805,0,50,500,51.8977530958,-72.7160185803,B,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717253043,494805,0,50,500,79.4215789077,-133.877728368,B,8,9,1004
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255227,494805,1,50,500,39.5776669143,14.5540660646,B,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255227,494805,1,50,500,109.766526198,-22.1135827187,B,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255228,494805,1,50,500,159.618288604,20.0683078094,B,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255228,494805,1,50,500,34.3500612389,65.3306982258,R,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255228,494805,1,50,500,74.3105330371,108.032054543,R,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255228,494805,1,50,500,62.9060466734,117.564629475,R,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255228,494805,1,50,500,-44.7193199347,59.7683977559,R,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255228,494805,1,50,500,-29.2838445552,93.2915322283,B,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255228,494805,1,50,500,-62.4871937501,106.564535546,B,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255228,494805,1,50,500,-37.3311279271,-6.19089808161,B,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255228,494805,1,50,500,-111.440146575,-4.67239438553,R,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255228,494805,1,50,500,-140.763559886,-14.7232231664,B,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255228,494805,1,50,500,-13.8832181702,-43.7032084878,B,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255228,494805,1,50,500,-68.5427731816,-86.4833319181,R,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255228,494805,1,50,500,-55.9218510929,-123.541087716,R,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255228,494805,1,50,500,42.5253724802,-37.6961811392,B,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255229,494805,1,50,500,68.0743968466,-83.6817887602,B,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717255229,494805,1,50,500,63.5318165462,-114.529996344,B,7,8,922
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,38.264282973,-21.0195825077,B,4,5,845
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,105.818175018,17.7904625131,B,4,5,845
debugG5S3a,debugeteaA,debugG5S3a:debugeteaA,1546717257330,494805,2,50,500,164.721206145,10.5698087798,B,4,5,845
